question,answer,masked_question,masked_word_answer
"Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?","First we need to know what half of Bills toys are, 60 toys / 2 = <<60/2=30>>30 toys.
Hash has 9 toys + 30 toys = <<9+30=39>>39 toys.
Together the boys have 60 toys + 39 toys = <<60+39=99>>99 toys.
#### 99","Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the () have?",boys
"Rafael works 10 hours on Monday and 8 hours on Tuesday on his delivery job. With 20 hours left to work in the week, how much money does Rafael make if he is paid $20 per hour?","The total number of hours that Rafael has worked by Tuesday is 8+10 = <<8+10=18>>18 hours.
To complete his assigned work hours, Rafael works 20 hours more, making his total weekly hours to be 18+20 = <<38=38>>38 hours.
Since he is paid $20 per hour, he makes $20*38 = $<<20*38=760>>760 a week.
#### 760","Rafael works 10 ()s on Monday and 8 ()s on Tuesday on his delivery job. With 20 ()s left to work in the week, how much money does Rafael make if he is paid $20 per ()?",hour
"Every day, Bob logs 10 hours of work in his office. If he works for five days a week, calculate the total number of hours he logs in a month.","In a week, working 10 hours a day, Bob logs 10*5 = <<10*5=50>>50 hours
After a month with 4 weeks, Bob logs 4*50 = <<4*50=200>>200 hours for his office working hours.
#### 200","Every day, Bob logs 10 hours of work in his office. If he works for five days a week, calculate the total () of hours he logs in a month.",number
"A type C school bus contains 13 rows of seats, with an aisle running down the middle of the bus, splitting each row into two sections.  If the school only allowed two students to sit in each section, how many students could be seated on the bus?","13 rows, with 2 sections per row would contain 13*2=<<13*2=26>>26 sections.
If two students sat per section, there would be capacity for 26*2=<<26*2=52>>52 students.
#### 52","A type C school bus contains 13 () of seats, with an aisle running down the middle of the bus, splitting each row into two sections.  If the school only allowed two students to sit in each section, how many students could be seated on the bus?",rows
James has 3 fish tanks.  1 of the tanks has 20 fish in it and the other two have twice as many fish each as the first. How many total fish do they have?,"The second and third tank each have 20*2=<<20*2=40>>40 fish
So in total there are 20+40*2=<<20+40*2=100>>100 fish
#### 100",James has 3 fish ().  1 of the () has 20 fish in it and the other two have twice as many fish each as the first. How many total fish do they have?,tanks
"Jack is a soccer player. He needs to buy two pairs of socks and a pair of soccer shoes. Each pair of socks cost $9.50, and the shoes cost $92. Jack has $40. How much more money does Jack need?","The total cost of two pairs of socks is $9.50 x 2 = $<<9.5*2=19>>19.
The total cost of the socks and the shoes is $19 + $92 = $<<19+92=111>>111.
Jack need $111 - $40 = $<<111-40=71>>71 more.
#### 71","Jack is a soccer player. He needs to buy two pairs of socks and a pair of soccer (). Each pair of socks cost $9.50, and the () cost $92. Jack has $40. How much more money does Jack need?",shoes
"Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?","Hector gave to Alisha twice as many as he had given Todd, for a total of 4*2=<<4*2=8>>8 gumballs,
Hector gave 5 less than four times as many to Bobby as he had given to Alisha, or a total of (8*4)-5=<<8*4-5=27>>27 gumballs.
If Hector had 6 gumballs remaining, he originally purchased 4+8+27+6=<<4+8+27+6=45>>45 gumballs.
#### 45","Hector purchased a () of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?",container
"When Doctor Lindsay works in her office, she usually sees 4 adult patients and 3 child patients every hour. If the cost for an adult's office visit is $50, and the cost for a child's office visit is $25, how much money, in dollars, does Doctor Lyndsay receive in a typical 8-hour day for seeing all her patients?","For 4 adult patients per hour, Dr. Lindsay receives 4*50=<<4*50=200>>200 dollars per hour.
For the 3 child patients per hour, Dr. Lindsay receives 3*25=<<3*25=75>>75 dollars per hour.
Thus, Dr. Lindsay receives 200+75=<<200+75=275>>275 dollars per hour.
In an 8-hour day, Dr. Lindsay receives 8*275=<<8*275=2200>>2200 dollars.
#### 2200","When Doctor Lindsay works in her office, she usually sees 4 adult patients and 3 child patients every hour. If the cost for an adult's office () is $50, and the cost for a child's office () is $25, how much money, in dollars, does Doctor Lyndsay receive in a typical 8-hour day for seeing all her patients?",visit
"Ali turned 8 years old this year, and is now 3 years older than Yusaf. If Umar is twice Yusaf’s age, how old is Umar?","If Ali is 3 years older, then Yusaf must be 8 – 3 = 5 years old.
Umar is twice Yusaf’s age, so he must be 5 * 2 = <<2*5=10>>10 years old.
#### 10","Ali turned 8 () old this year, and is now 3 () older than Yusaf. If Umar is twice Yusaf’s age, how old is Umar?",years
"Elizabeth wants to buy the steak knives from a bridal registry as a wedding gift.  The couple registered for 2 steak knife sets and each set contains 4 steak knives.  If Elizabeth buys both sets and they cost $80.00 per set, how much does each single steak knife cost?","Each steak knife set has 4 steak knives and Elizabeth bought 2 sets so there are 4*2 = <<4*2=8>>8 steak knives in total
Each steak knife set costs $80.00 and she bought 2 sets so she spent $80*2 = $<<80*2=160.00>>160.00
Both sets cost $160.00 and there are 8 knives in total so each knife costs 160/8 = $<<160/8=20.00>>20.00 each
#### 20","Elizabeth wants to buy the () knives from a bridal registry as a wedding gift.  The couple registered for 2 () knife sets and each set contains 4 () knives.  If Elizabeth buys both sets and they cost $80.00 per set, how much does each single () knife cost?",steak
"Kristine has 7 more CDs than Dawn. If Dawn has 10 CDs, how many CDs do they have together?","Kristine has 10 + 7 = <<10+7=17>>17 CDs.
Thus, they both have 10 + 17 = <<10+17=27>>27 CDs together.
#### 27","Kristine has 7 more () than Dawn. If Dawn has 10 (), how many () do they have together?",CDs
"Olivia's insurance premium starts out at $50/month. It goes up 10% for every accident and $5/month for every ticket. If she gets in one accident and gets 3 tickets, what's her new insurance premium?","First find the increase due to the accident: $50 * 10% = $<<50*10*.01=5>>5
Then find the total increase due to the tickets: $5/ticket * 3 tickets = $<<5*3=15>>15
Then add both increases to the base price to find the new price: $50 + $5 + $15 = $<<50+5+15=70>>70
#### 70","Olivia's insurance premium starts out at $50/month. It goes up 10% for every accident and $5/month for every (). If she gets in one accident and gets 3 ()s, what's her new insurance premium?",ticket
